topic_id,documents,median_relative_contribution,median_relative_margin,margin_below_005_fraction
412,243,0.28330708,0.07419436,0.3580247
413,197,0.22978485,0.040464967,0.5431472
414,201,0.23070325,0.04841952,0.5074627
415,164,0.2290315,0.045845497,0.5121951
416,274,0.27163368,0.07292959,0.35036495
417,166,0.27919084,0.06009648,0.43975905
418,199,0.2685799,0.058673862,0.42713568
419,138,0.3652026,0.14429018,0.23188406
420,180,0.29471517,0.06541179,0.40555555
421,201,0.26116815,0.058137074,0.43781096
422,178,0.2564502,0.044583786,0.53932583
423,261,0.2821986,0.05380926,0.45210728
424,152,0.30961072,0.082090095,0.38157895
425,171,0.4082318,0.18134543,0.14035088
426,160,0.29721648,0.12006055,0.24375
427,90,0.20155206,0.024718542,0.75555557
428,136,0.31503826,0.11524746,0.2720588
429,155,0.22633658,0.033790447,0.63225806
430,186,0.26757538,0.06311969,0.4139785
431,264,0.28023982,0.053487908,0.47727272
432,181,0.2752828,0.05588305,0.45303866
433,170,0.29569393,0.074322104,0.32941177
434,189,0.24787015,0.049662888,0.50793654
435,216,0.25481203,0.06484459,0.4212963
436,182,0.26374376,0.06980995,0.37362638
437,128,0.26985297,0.060407266,0.421875
438,179,0.30072778,0.105308,0.25698325
439,190,0.28914577,0.06067461,0.4368421
440,171,0.36058226,0.11850317,0.34502923
441,278,0.2766788,0.08896018,0.30215827
442,333,0.3384456,0.119647734,0.2822823
443,137,0.27150768,0.08328632,0.30656934
444,228,0.24338828,0.06470059,0.41666666
445,275,0.29902786,0.07199316,0.36
446,216,0.26895252,0.063659504,0.41203704
447,174,0.25617623,0.07772039,0.3218391
448,193,0.33368984,0.10422239,0.32124352
449,90,0.19824195,0.031076513,0.6666667
450,263,0.3026109,0.09018596,0.2623574
451,171,0.241382,0.05093502,0.49122807
452,264,0.25775534,0.07514243,0.33333334
453,200,0.23289621,0.060790442,0.4
454,196,0.3729088,0.16508469,0.1734694
455,259,0.24299474,0.048471637,0.5096525
456,150,0.26231748,0.056344382,0.44666666
457,210,0.25463063,0.061399378,0.42380953
458,221,0.25928125,0.061892554,0.4162896
459,206,0.34197462,0.12921396,0.1699029
460,243,0.27275804,0.0573885,0.45679012
461,182,0.22912157,0.047612164,0.51648355
462,184,0.24463248,0.05662345,0.45652175
463,175,0.31078357,0.08064286,0.38857144
464,144,0.253047,0.057773657,0.45833334
465,218,0.2876907,0.06855767,0.36697248
466,149,0.21728434,0.027250761,0.7114094
467,254,0.25451255,0.051126182,0.496063
468,280,0.33406073,0.07748927,0.39285713
469,253,0.26151648,0.06948096,0.37944663
470,184,0.25071985,0.08874262,0.26086956
471,82,0.24627861,0.034732945,0.5731707
472,272,0.32549718,0.08708218,0.3382353
473,292,0.3657878,0.14496367,0.15068494
474,182,0.23078161,0.05045838,0.4945055
475,258,0.2739132,0.08741723,0.2751938
476,212,0.2893394,0.07893632,0.31603774
477,158,0.17999257,0.023951251,0.7531645
478,143,0.21436736,0.040102374,0.6293706
479,211,0.25193837,0.05653048,0.45971563
480,190,0.28251883,0.050611794,0.49473685
481,156,0.24246803,0.0669111,0.37820512
482,161,0.22114699,0.04465224,0.54037267
483,298,0.27206284,0.060988024,0.43288592
484,172,0.28579938,0.054379746,0.45930234
485,182,0.23479912,0.053329565,0.48351648
486,159,0.27053297,0.069053784,0.35220125
487,206,0.33152804,0.09273054,0.35436893
488,164,0.33993635,0.13782454,0.25
489,154,0.3130606,0.0768792,0.35714287
490,184,0.2539792,0.0502863,0.5
491,172,0.28309602,0.05210898,0.49418604
492,271,0.26665458,0.045197982,0.53136533
493,220,0.3753646,0.17059872,0.18181819
494,178,0.41786247,0.15811294,0.23595506
495,181,0.28748816,0.05816579,0.43093923
496,178,0.25683403,0.07009513,0.3483146
497,154,0.3117031,0.10360905,0.26623377
498,193,0.302371,0.0966964,0.23834197
499,178,0.26328015,0.061882645,0.38764045
